city,mean_city_price,median_city_price
Siewierz,213936.77,213356.0
Skarszewy,231701.67,231735.0
Skarżysko-Kamienna,194692.0,145000.0
Skawina,340326.4,273050.0
Skierniewice,385000.0,385000.0
Skoczów,194333.33,197500.0
Skoki,135649.8,140957.0
Skwierzyna,170068.0,159006.0
Skępe,175000.0,175000.0
Sobótka,180019.0,169000.0
Sokołów Podlaski,305000.0,305000.0
Sokółka,248000.0,190000.0
Solec Kujawski,211743.0,189500.0
Sompolno,75000.0,75000.0
Sopot,1133006.1,932500.0
Sosnowiec,206419.42,196000.0
Starachowice,218525.5,222053.0
Stargard,218059.94,199000.0
Starogard Gdański,240933.86,236000.0
Stary Sącz,224000.0,224000.0
Stronie Śląskie,139333.33,133000.0
Strumień,189000.0,189000.0
Strzegom,181600.0,149000.0
Strzelce Krajeńskie,120000.0,120000.0
Strzelce Opolskie,190333.33,250000.0
Strzelin,241000.0,219500.0
Strzelno,150000.0,150000.0
Suchań,133300.0,145000.0
Sulechów,157774.05,165000.0
Sulejówek,342633.0,345000.0
Susz,112000.0,112000.0
Suwałki,258880.98,272200.0
Swarzędz,305103.94,289015.25
Szamotuły,192033.55,187044.0
Szczawnica,255000.0,262500.0
Szczawno-Zdrój,190160.6,192470.4
Szczebrzeszyn,190000.0,190000.0
Szczecin,363838.03,332952.5
Szczecinek,206022.95,192720.0
Szczucin,198000.0,198000.0
Szczyrk,466875.5,498648.0
Szczytna,496300.0,450000.0
Szczytno,197692.45,190000.0
Szklarska Poręba,324555.06,289000.0
Szprotawa,183833.33,103000.0
Sztum,153333.33,155000.0
Szubin,139500.0,139500.0
Szydłowiec,51331.668,45000.0
Sępólno Krajeńskie,194000.0,194000.0
Sława,257413.33,296280.0
Sławno,139500.0,139500.0
Słubice,323330.0,300000.0
Słupca,163800.0,165000.0
Słupsk,229318.94,217000.0
Tarnobrzeg,197315.0,204500.0
Tarnowskie Góry,219962.5,179000.0
Tarnów,226015.38,209000.0
Tczew,251699.42,252900.0
Tolkmicko,92000.0,92000.0
Tomaszów Mazowiecki,221531.4,208610.0
Toruń,312635.8,280000.0
Trzcianka,162487.5,163000.0
Trzcińsko-Zdrój,322000.0,322000.0
Trzebiatów,172416.67,177000.0
Trzebinia,148727.27,130000.0
Trzebnica,293300.0,334100.0
Trzemeszno,153333.33,150000.0
Tuchola,204599.8,190000.0
Tuczno,110000.0,110000.0
Turek,133478.4,98900.0
Tychy,244911.64,232000.0
Tyczyn,293689.2,283080.0
Ujazd,69000.0,69000.0
Ustka,344158.34,299000.0
Ustroń,355900.38,299000.0
Ustrzyki Dolne,105000.0,105000.0
Wadowice,260788.89,246000.0
Warka,184000.0,184000.0
Warszawa,674774.94,520900.0
Wasilków,292390.0,242450.0
Wałbrzych,143384.3,135000.0
Wałcz,286749.66,220551.0
Wejherowo,257395.42,239000.0
Wieliczka,341460.44,298000.0
Wieluń,298684.66,288066.0
Wieruszów,173630.47,156351.0
Wisła,332419.25,311500.0
Witnica,183092.0,187400.0
Wiązów,55000.0,55000.0
Wiślica,92000.0,92000.0
Wodzisław Śląski,120393.1,118000.0
Wojkowice,144975.0,139950.0
Wolin,189333.33,199000.0
Wolsztyn,222250.0,224600.0
Wołczyn,147286.12,137450.0
Wołomin,284333.34,275000.0
Wołów,174000.0,174000.0
Wrocław,396989.7,361227.0
Wronki,182636.27,184000.0
Września,222227.12,224370.0
Wschowa,169960.6,110803.0
Wysoka,417769.66,394222.0
Wysokie Mazowieckie,251202.8,246960.0
Wąbrzeźno,150000.0,150000.0
Wągrowiec,146333.33,165000.0
Węgorzewo,164257.14,175000.0
Władysławowo,472956.28,377825.0
Włocławek,179240.61,162000.0
Włoszczowa,248000.0,248000.0
Zabrze,181136.02,171020.5
Zagórz,123000.0,123000.0
Zakopane,651606.7,585000.0
Zakroczym,265000.0,265000.0
Zambrów,240000.0,237500.0
Zamość,259000.0,259000.0
Zawadzkie,109000.0,109000.0
Zawiercie,128769.16,130000.0
Zbąszynek,175500.0,175500.0
Zbąszyń,234702.5,234702.5
Zduny,57000.0,57000.0
Zduńska Wola,139000.0,139000.0
Zdzieszowice,111250.0,113500.0
Zelów,101500.0,101500.0
Zgierz,205586.52,166500.0
Zgorzelec,198400.0,239000.0
Zielona Góra,275213.3,265000.0
Zielonka,395428.56,380000.0
Ziębice,95250.0,96500.0
Zwierzyniec,674251.2,563508.0
Ząbki,348178.84,344880.0
Ząbkowice Śląskie,142105.27,150000.0
Złocieniec,138604.86,135000.0
Złotoryja,167250.0,162000.0
Złoty Stok,74000.0,74000.0
Złotów,154510.0,169092.0
other,314652.7,285000.0
Łabiszyn,199000.0,199000.0
Łagów,125000.0,125000.0
Łapy,59999.0,59999.0
Łasin,129000.0,129000.0
Łask,177517.14,169000.0
Łaziska Górne,155571.42,160000.0
Łazy,212500.0,212500.0
Łańcut,241451.38,235447.0
Łeba,334836.38,270000.0
Łobez,148166.67,130500.0
Łochów,280000.0,280000.0
Łomianki,406775.0,398650.0
Łomża,256948.4,250000.0
Łuków,169450.0,169450.0
Łódź,304718.2,265061.0
Łęczna,219666.67,230000.0
Ścinawa,156000.0,165000.0
Śmigiel,170644.67,142440.0
Śrem,207158.2,189000.0
Środa Wielkopolska,226232.42,233280.0
Środa Śląska,269000.0,269000.0
Świdnica,235307.83,235000.0
Świdnik,231252.14,195000.0
Świdwin,197214.28,168000.0
Świebodzice,172603.33,150500.0
Świebodzin,226900.0,239000.0
Świecie,238265.94,239000.0
Świeradów-Zdrój,299477.5,308488.9
Świnoujście,527235.8,463500.0
Świętochłowice,163029.77,142250.0
Żabno,112000.0,112000.0
Żagań,167529.4,163000.0
Żary,244324.0,234000.0
Żarów,163780.0,134900.0
Żerków,135000.0,135000.0
Żmigród,130000.0,130000.0
Żnin,235000.0,235000.0
Żory,253250.72,239949.0
Żukowo,55000.0,55000.0
Żyrardów,226055.62,209500.0
Żywiec,315500.0,319500.0
